Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_021613345.1	ASM2161334v1	Alternaria burnsii		HNLF-44						28671348	Scaffold	2022-01-26	JAJUXL01
GCA_035928625.1	ASM3592862v1	Exophiala xenobiotica		CCFEE 5649					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	32718719	Scaffold	2024-01-22	JAXLPC01
GCA_951284595.1	Ab_NCIM_1409_WGS_Assembly	Alternaria burnsii							Annotation submitted by department of biotechnology, bhupat and jyoti mehta school of biosciences, indian institute of technology madras	33316601	Scaffold	2023-05-27	CATNWF01
GCA_013201795.1	ASM1320179v1	Colletotrichum siamense		CAD4					Annotation submitted by RIKEN	58153656	Scaffold	2020-06-01	QPMS01
GCA_035928505.1	ASM3592850v1	Exophiala xenobiotica		CCFEE 6221					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	31284736	Scaffold	2024-01-22	JAXLPY01
GCA_035930245.1	ASM3593024v1	Exophiala xenobiotica		CCFEE 5801					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	35135083	Scaffold	2024-01-22	JAXLPE01
GCA_035928485.1	ASM3592848v1	Exophiala xenobiotica		CCFEE 6233					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	30387152	Scaffold	2024-01-22	JAXLPZ01
GCA_002073855.1	ASM207385v1	Metschnikowia australis		UFMG-CM-Y6158						14350841	Contig	2017-03-29	MVNQ01
GCA_035931935.1	ASM3593193v1	Exophiala xenobiotica		CCFEE 6190					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	31063646	Scaffold	2024-01-22	JAXLPV01
GCA_013201755.1	ASM1320175v1	Colletotrichum siamense		CAD5					Annotation submitted by RIKEN	57642425	Scaffold	2020-06-01	QPMR01
GCA_035930305.1	ASM3593030v1	Exophiala xenobiotica		CCFEE 5784					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	34199677	Scaffold	2024-01-22	JAXLPD01
GCA_031009615.1	ASM3100961v1	Colletotrichum siamense					S2L1F3			55831030	Contig	2023-08-30	JARSST01
GCA_013201745.1	ASM1320174v1	Colletotrichum siamense		CAD2					Annotation submitted by RIKEN	58148672	Scaffold	2020-06-01	QPMT01
GCA_035930125.1	ASM3593012v1	Exophiala xenobiotica		CCFEE 5874					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	35189223	Scaffold	2024-01-22	JAXLPJ01
GCA_021436965.1	ASM2143696v1	Diplodia seriata		M28-159						37031543	Scaffold	2022-01-11	JAJVDA01
GCA_035930065.1	ASM3593006v1	Exophiala xenobiotica		CCFEE 5882					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	34696424	Scaffold	2024-01-22	JAXLPL01
GCA_035932115.1	ASM3593211v1	Exophiala xenobiotica		CCFEE 6060					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	33545206	Scaffold	2024-01-22	JAXLPQ01
GCA_023629175.1	ASM2362917v1	Lachancea fermentati		M7023						10160833	Scaffold	2022-06-01	JAMAJG01
GCA_011947465.1	ASM1194746v1	Colletotrichum siamense		CsLH17						60116880	Contig	2020-04-03	JAATWJ01
GCA_036872695.1	ASM3687269v1	Exophiala oligosperma		CCFEE 6327					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	35549200	Scaffold	2024-02-26	JAVRRE01
GCA_030142925.1	UCR_TK_68	Exophiala xenobiotica		TK_68					Annotation submitted by University of California, Riverside	30280774	Scaffold	2023-05-31	JAPDRM01
GCA_004011775.1	ASM401177v1	Exophiala mesophila		CCFEE 6314					Annotation submitted by University of California, Riverside	30412007	Scaffold	2019-01-11	NAJM01
GCA_035928665.1	ASM3592866v1	Exophiala xenobiotica		CCFEE 6182					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	35211136	Scaffold	2024-01-22	JAXLPU01
GCA_035930265.1	ASM3593026v1	Exophiala xenobiotica		CCFEE 5811					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	33175650	Contig	2024-01-22	JAXLPF01
GCA_024500265.1	ASM2450026v1	Fusarium falciforme		C5						56055472	Scaffold	2022-08-01	JAMOFW01
GCA_022813305.1	ASM2281330v1	Penicillium decumbens		FJII-L3-CM-PAB4						24008368	Scaffold	2022-04-04	JAKLMS01
GCA_035932095.1	ASM3593209v1	Exophiala xenobiotica		CCFEE 6059					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	33544625	Scaffold	2024-01-22	JAXLPP01
GCA_030573385.1	ASM3057338v1	[Candida] pseudohaemulonii		NRRL Y-48733						12795568	Scaffold	2023-07-31	JAJMDC01
GCA_013305485.1	ASM1330548v1	Aspergillus spinulosporus		4060						31640782	Scaffold	2020-06-09	VCRF01
GCA_035928205.1	ASM3592820v1	Exophiala xenobiotica		CCFEE 6357					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	34046213	Scaffold	2024-01-22	JAXLQE01
GCA_035931835.1	ASM3593183v1	Exophiala xenobiotica		CCFEE 6068					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	33532227	Scaffold	2024-01-22	JAXLPR01
GCA_030370825.1	UoG_IR.ND1BC16-2_1.0	Ilyonectria robusta		ND1BC16-2						62948434	Scaffold	2023-06-28	JAQYTZ01
GCA_000340195.1	Dothistroma septosporum NZE10 v1.0	Dothistroma septosporum NZE10		NZE10					Annotation submitted by JGI	30209431	Scaffold	2013-02-25	AIEN01
GCA_027945505.1	F_falc_A02	Fusarium falciforme		A02					Annotation submitted by University of California, Riverside	54321482	Scaffold	2023-01-24	JAOQAV01
GCA_022813245.1	ASM2281324v1	Exophiala oligosperma		FKI-L8-BK-P1						42391843	Scaffold	2022-04-04	JAKLMV01
GCA_002072245.1	ASM207224v1	Penicillium decumbens		IBT 11843					Annotation submitted by Chalmers University of Technology	23940802	Scaffold	2017-03-24	MDYL01
GCA_018489445.1	ASM1848944v1	Scheffersomyces segobiensis		DSM 27193						14817078	Scaffold	2021-05-25	JAGSID01
GCA_020281285.1	ASM2028128v1	[Candida] oceani		2020i151						11325734	Contig	2021-10-05	JACYCB01
GCA_022813135.1	ASM2281313v1	Penicillium decumbens		FKII-L3-CM-DRAB1						26798112	Scaffold	2022-04-04	JAKLNH01
GCA_014706235.1	NDSU_Ftem_1.1	Fusarium temperatum		KFI 660						44997458	Scaffold	2020-09-23	JACOPZ01
GCA_014706205.1	NDSU_Ftem_1.0	Fusarium temperatum		KFI 615						45212390	Scaffold	2020-09-23	JACOPY01
GCA_027945515.1	F_falc_A04	Fusarium falciforme		A04					Annotation submitted by University of California, Riverside	55360567	Scaffold	2023-01-24	JAOQAW01
GCA_026401285.1	ASM2640128v1	Trichoderma afroharzianum		BJ182-31						39053571	Contig	2022-11-25	JALIRU01
GCA_022578615.1	HyprubER1909_1	Hypoxylon rubiginosum		ER1909					Annotation submitted by DOE Joint Genome Institute	44157955	Scaffold	2022-02-28	JAJKKQ01
GCA_018907675.1	ASM1890767v1	Colletotrichum scovillei		Coll-524					Annotation submitted by Ph.D. Program in Microbial Genomics, National Chung Hsing University and Academia Sinica, Taiwan.	51490565	Scaffold	2021-06-16	JAESDM01
GCA_021396195.1	ASM2139619v1	Sporothrix globosa		LC2404						33621611	Scaffold	2022-01-09	WNYB01
GCA_026401295.1	ASM2640129v1	Trichoderma afroharzianum		BJ182-30						38961412	Contig	2022-11-25	JALIRT01
GCA_018842695.1	ASM1884269v1	Daldinia caldariorum		D263						37763794	Scaffold	2021-06-11	JAAOZU01
GCA_021396345.1	ASM2139634v1	Sporothrix globosa		LC2460						33436398	Scaffold	2022-01-09	WNYM01
GCA_027945495.1	F_falc_A01-2	Fusarium falciforme		A01-2					Annotation submitted by University of California, Riverside	56457383	Scaffold	2023-01-24	JAOQAU01
GCA_002894205.1	A5MHv2.1	Trichoderma gamsii		A5MH					Annotation submitted by CSIRO	38490345	Scaffold	2018-01-22	MTYH01
GCA_010724575.1	ASM1072457v1	Aspergillus lentulus		IFM 60648					Annotation submitted by Medical Mycology Research Center	31053882	Scaffold	2020-02-04	BLKI01
GCA_001465945.1	ASM146594v1	Clarireedia homoeocarpa					HRS10			42266283	Scaffold	2015-12-14	LNGN01
GCA_004522655.2	ASM452265v2	Venturia nashicola		PRI2					Annotation submitted by POSTECH	40199691	Scaffold	2019-04-30	SNSC02
GCA_026401175.1	ASM2640117v1	Trichoderma afroharzianum		BJ232-4						44050969	Contig	2022-11-25	JALISA01
GCA_010724635.1	ASM1072463v1	Aspergillus lentulus		IFM 61392					Annotation submitted by Medical Mycology Research Center	31225736	Scaffold	2020-02-04	BLKJ01
GCA_021396335.1	ASM2139633v1	Sporothrix globosa		LC2454						33404348	Scaffold	2022-01-09	WNYL01
GCA_037043775.1	ASM3704377v1	Sarocladium oryzae		LH_A518						31667011	Contig	2024-03-06	JAWLSP01
GCA_030371095.1	UoG_IMP.ND3A16-1_1.0	Ilyonectria mors-panacis		ND3A16-1						64295655	Scaffold	2023-06-28	JAQYUJ01
GCA_010723975.1	ASM1072397v1	Aspergillus lentulus		IFM 47457					Annotation submitted by Medical Mycology Research Center	30957489	Scaffold	2020-02-04	BLKD01
GCA_030556635.1	ASM3055663v1	Metschnikowia australis		NRRL Y-17414						14155735	Scaffold	2023-07-31	JAKTUK01
GCA_023376855.1	CABS01_v0.1	Colletotrichum abscissum		Ca142					Annotation submitted by University of Salamanca	54001896	Scaffold	2022-05-16	SDAQ01
GCA_004802565.1	ASM480256v1	Cryphonectria nitschkei		CBS 109776						41555648	Scaffold	2019-04-22	LAYK01
GCA_027886225.1	ASM2788622v1	Fusarium solani-melongenae		CML2203						56240942	Scaffold	2023-01-17	SCDP01
GCA_931305865.1	NCYC 2473	Torulaspora microellipsoides								9673534	Contig	2022-02-26	CAKNUL01
GCA_011426375.1	ASM1142637v1	Colletotrichum siamense		COLG-38						55426472	Scaffold	2020-03-18	WEZK01
GCA_030371195.1	UoG_IMP.DAOM226729_1.0	Ilyonectria mors-panacis		DAOM226729						64289175	Scaffold	2023-06-28	JAQYUL01
GCA_012070365.1	ASM1207036v1	Fusarium temperatum		RC 2914						43364755	Scaffold	2020-04-06	JAAIFN01
GCA_021396295.1	ASM2139629v1	Sporothrix globosa		LC2445						33408274	Scaffold	2022-01-09	WNYK01
GCA_000785585.1	claImm	Cladophialophora immunda		CBS 110551					Annotation submitted by University of Natural Resources and Life Sciences, Vienna	41583904	Contig	2014-11-19	JSEJ01
GCA_001975905.1	Dipser v1	Diplodia seriata		F98.1					Annotation submitted by INRA	37268684	Scaffold	2017-01-31	MSZU01
GCA_021396275.1	ASM2139627v1	Sporothrix globosa		LC2433						33426410	Scaffold	2022-01-09	WNYJ01
GCA_010724915.1	ASM1072491v1	Aspergillus lentulus		IFM 62136					Annotation submitted by Medical Mycology Research Center	30753187	Scaffold	2020-02-04	BLKL01
GCA_900290465.1	IMI	Sarocladium strictum					IMI 501407			33842462	Scaffold	2018-04-29	OKRM01
GCA_030370895.1	UoG_IMP.RD3U14-8_1.0	Ilyonectria mors-panacis		RD3U14-8						64279274	Scaffold	2023-06-28	JAQYUC01
GCA_002249805.1	ASM224980v1	Colletotrichum coccodes		RP180a						51499764	Scaffold	2017-08-11	LECP01
GCA_002982235.1	ASM298223v1	Curvularia geniculata		W3						33535945	Scaffold	2018-03-08	PQMW01
GCA_000710705.2	ASM71070v2	Sporothrix pallida		SPA8						37792399	Contig	2016-02-09	JNEX02
GCA_000935225.1	ASM93522v1	Dactylonectria macrodidyma		JAC 15-245						57996413	Scaffold	2015-03-02	JYGD01
GCA_026319425.1	ASM2631942v1	Aspergillus puulaauensis		AS33						34666783	Scaffold	2022-11-23	JAIOTX01
GCA_030371205.1	UoG_IMP.DAOM226727_1.0	Ilyonectria mors-panacis		DAOM226727						64130886	Scaffold	2023-06-28	JAQYUM01
GCA_003012315.1	Fusarium_sporotrichioides_NRRL3299_FSPOR_contigs	Fusarium sporotrichioides		NRRL 3299					Annotation submitted by Robert Proctor's shared submissions	37429079	Scaffold	2018-03-20	PXOF01
GCA_030371025.1	UoG_IMP.ND3P14-1A_1.0	Ilyonectria mors-panacis		ND3P14-1A						64594016	Scaffold	2023-06-28	JAQYUG01
GCA_030371075.1	UoG_IMP.ND3A16-2_1.0	Ilyonectria mors-panacis		ND3A16-2						64266565	Scaffold	2023-06-28	JAQYUI01
GCA_009193605.1	Aspalbe1	Aspergillus alliaceus		IBT 14317					Annotation submitted by DOE Joint Genome Institute	40140031	Scaffold	2019-10-18	STFQ01
GCA_023086045.1	ASM2308604v1	Diplodia seriata		B07_159						44410094	Scaffold	2022-04-21	JAJMXR01
GCA_004802525.1	ASM480252v1	Chrysoporthe cubensis		GJS 09-446						45044145	Scaffold	2019-04-22	LAXG01
GCA_030371145.1	UoG_IMP.K112_1.0	Ilyonectria mors-panacis		K112						64781137	Scaffold	2023-06-28	JAQYUK01
GCA_030371055.1	UoG_IMP.ND3P14-1_1.0	Ilyonectria mors-panacis		ND3P14-1						64591167	Scaffold	2023-06-28	JAQYUH01
GCA_030370985.1	UoG_IMP.ND3P14-3_1.0	Ilyonectria mors-panacis		ND3P14-3						64804167	Scaffold	2023-06-28	JAQYUF01
GCA_025602875.1	ASM2560287v1	[Candida] palmioleophila		CBS 18098						12614460	Scaffold	2022-10-06	JANXEX01
GCA_931305935.1	PYCC 9028	Torulaspora microellipsoides								10300417	Contig	2022-02-26	CAKNUN01
GCA_014850315.1	ASM1485031v1	Cryphonectria radicalis					M4733			40832177	Scaffold	2020-10-05	JACWTC01
GCA_021397555.1	ASM2139755v1	Sporothrix globosa		LC2405						33467407	Scaffold	2022-01-10	WMHP01
GCA_022701355.1	ASM2270135v1	Pichia terricola		WJL-G4						11387933	Contig	2022-03-28	JAKSGO01
GCA_027946415.1	ASM2794641v1	Didymella glomerata		IMI 360193					Annotation submitted by Royal Botanic Gardens, Kew	34727068	Contig	2023-01-24	JAPEUV01
GCA_001630445.1	ASM163044v1	Sporothrix globosa		SS01						33493113	Scaffold	2016-04-25	LVYX01
GCA_010724255.1	ASM1072425v1	Aspergillus udagawae		IFM 51744					Annotation submitted by Medical Mycology Research Center	33650743	Scaffold	2020-02-04	BLKF01
GCA_002225475.1	ASM222547v1	Knufia petricola		MA5790						27731162	Contig	2017-07-25	NMQP01
GCA_010367415.1	ASM1036741v1	Teratosphaeria destructans		CMW45661						27510784	Scaffold	2020-02-10	WBMM01
GCA_012656445.1	ASM1265644v1	Aspergillus lentulus		CNM-CM7927					Annotation submitted by UNICAMP	31600815	Scaffold	2020-04-22	JAAAPR01
GCA_022578905.1	XylarbFL1030	Xylaria arbuscula		FL1030					Annotation submitted by DOE Joint Genome Institute	52119269	Scaffold	2022-03-03	JAJLLY01
GCA_001006355.1	UCDDS831v0.1	Diplodia seriata					DS831		Annotation submitted by University of California Davis	37120944	Scaffold	2015-05-13	LAQI01
GCA_001750025.1	ASM175002v1	Penicillium sclerotiorum		113						34025097	Scaffold	2016-09-29	MJCA01
GCA_022578595.1	Hyprub1	Hypoxylon rubiginosum		CBS 119005					Annotation submitted by DOE Joint Genome Institute	42157771	Scaffold	2022-02-28	JAJKKX01
GCA_030572715.1	ASM3057271v1	Zygosaccharomyces parabailii		CBS 12809						10763707	Scaffold	2023-07-31	JAJMAZ01
GCA_035930045.1	ASM3593004v1	Exophiala xenobiotica		CCFEE 5985					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	35637679	Scaffold	2024-01-22	JAXLPM01
GCA_012656435.1	ASM1265643v1	Aspergillus lentulus		CNM-CM6069					Annotation submitted by UNICAMP	30966382	Scaffold	2020-04-22	JAAAPP01
GCA_012656335.1	ASM1265633v1	Aspergillus lentulus		CNM-CM8927					Annotation submitted by UNICAMP	31549315	Scaffold	2020-04-22	JAAAPU01
GCA_012656375.1	ASM1265637v1	Aspergillus lentulus		CNM-CM8694					Annotation submitted by UNICAMP	31201550	Scaffold	2020-04-22	JAAAPT01
GCA_012656395.1	ASM1265639v1	Aspergillus lentulus		CNM-CM8060					Annotation submitted by UNICAMP	31244689	Scaffold	2020-04-22	JAAAPS01
GCA_030370915.1	UoG_IMP.RD3U14-5_1.0	Ilyonectria mors-panacis		RD3U14-5						64910451	Scaffold	2023-06-28	JAQYUD01
GCA_030572635.1	ASM3057263v1	Metschnikowia zobellii		NRRL Y-5387						13470769	Scaffold	2023-07-31	JAJMAL01
GCA_030370945.1	UoG_IMP.ND4Z15_1.0	Ilyonectria mors-panacis		ND4Z15						64729306	Scaffold	2023-06-28	JAQYUE01
GCA_014636675.1	PcBMM	Plectosphaerella cucumerina		PcBMM						37624724	Scaffold	2020-09-18	JACAFX01
GCA_003268335.1	ASM326833v1	Stemphylium lycopersici		CIDEFI 213					Annotation submitted by Centro de Investigaciones en Fitopatologias (CIDEFI)	34920267	Scaffold	2018-06-27	QGDH01
GCA_010093995.1	Elsamp1	Elsinoe ampelina		CECT 20119					Annotation submitted by DOE Joint Genome Institute	28270677	Scaffold	2020-01-31	JAAEIW01
GCA_010724335.1	ASM1072433v1	Aspergillus udagawae		IFM 53868					Annotation submitted by Medical Mycology Research Center	32495514	Scaffold	2020-02-04	BLKG01
GCA_012656455.1	ASM1265645v1	Aspergillus lentulus		CNM-CM6936					Annotation submitted by UNICAMP	30687957	Scaffold	2020-04-22	JAAAPQ01
GCA_022496955.1	KdCBS826_1	Ustulina deusta		CBS 826.72					Annotation submitted by DOE Joint Genome Institute	49727278	Scaffold	2022-02-28	JAJKKC01
GCA_030370815.1	UoG_IMP.RR3A14-1_1.0	Ilyonectria mors-panacis		RR3A14-1						64624400	Scaffold	2023-06-28	JAQYUB01
GCA_004768795.1	ASM476879v1	Xylaria hypoxylon		DSM 108379					Annotation submitted by IHI Zittau / TU Dresden	42840630	Scaffold	2019-04-10	SKBN01
GCA_000785215.1	ASM78521v1	Exophiala mesophila		CBS 120910						30376333	Contig	2014-11-18	JSEI01
GCA_015147945.1	ASM1514794v1	Botrytis fabae		Pv1						42897098	Contig	2020-10-30	JACVFG01
GCA_009666015.1	ASM966601v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB589						22761828	Scaffold	2019-11-18	VZVO01
GCA_002938945.1	ASM293894v1	Monilinia laxa		8L						40799424	Scaffold	2018-02-22	PTPU01
GCA_029169295.1	UF_Alli_G4	Aspergillus alliaceus		G4		marine plant-associated				41600645	Scaffold	2023-03-13	JAKMAZ01
GCA_009665905.1	ASM966590v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL624						22573645	Scaffold	2019-11-18	VZVM01
GCA_009665865.1	ASM966586v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL626						22910216	Scaffold	2019-11-18	VZVJ01
GCA_013201765.1	ASM1320176v1	Colletotrichum viniferum		CGW01					Annotation submitted by RIKEN	68452207	Scaffold	2020-06-01	QPMQ01
GCA_009667125.1	ASM966712v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		FM471						19584672	Scaffold	2019-11-18	VZXJ01
GCA_009665685.1	ASM966568v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL629						22953866	Scaffold	2019-11-18	VZVE01
GCA_004368095.1	ASM436809v1	Aspergillus viridinutans		FRR 0576						29815307	Scaffold	2019-03-25	SIHR01
GCA_004009835.2	ASM400983v2	Teratosphaeria destructans					CMW44962		Annotation submitted by Forestry and Agricultural Biotechnology Institute	32087942	Contig	2022-02-15	RIBY02
GCA_003054855.1	ASM305485v1	Cryphonectria radicalis		AR_3850						40435762	Scaffold	2018-04-17	LATK01
GCA_014635965.1	ASM1463596v1	Plectosphaerella cucumerina		Pc2127						35889630	Scaffold	2020-09-18	JACAFW01
GCA_009665565.1	ASM966556v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHCT145						23051464	Scaffold	2019-11-18	VZUZ01
GCA_009667295.1	ASM966729v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHCT133						22370367	Scaffold	2019-11-18	VZYC01
GCA_009665795.1	ASM966579v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL627						22093011	Scaffold	2019-11-18	VZVI01
GCA_009666655.1	ASM966665v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB38						22248144	Scaffold	2019-11-18	VZVW01
GCA_009666115.1	ASM966611v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB53						23244213	Scaffold	2019-11-18	VZVV01
GCA_011426385.1	ASM1142638v1	Colletotrichum siamense		COLG-34						50611973	Scaffold	2020-03-18	WEZJ01
GCA_009665705.1	ASM966570v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL628						23274972	Scaffold	2019-11-18	VZVF01
GCA_009666025.1	ASM966602v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL618						22896023	Scaffold	2019-11-18	VZVS01
GCA_010724135.1	ASM1072413v1	Aspergillus udagawae		IFM 5058					Annotation submitted by Medical Mycology Research Center	33476550	Scaffold	2020-02-04	BLKE01
GCA_009666635.1	ASM966663v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL619						23376378	Scaffold	2019-11-18	VZVR01
GCA_002081935.3	Kretzschmaria_deusta_v3	Ustulina deusta		DSM 104547						46527006	Scaffold	2017-08-25	MLHU03
GCA_002909725.1	ASM290972v1	Monilinia laxa		EBR-Ba11b						41843177	Scaffold	2018-01-31	PDMC01
GCA_009666185.1	ASM966618v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL616						23005187	Scaffold	2019-11-18	VZVY01
GCA_030028535.1	ASM3002853v1	Phyllosticta citriasiana		LSVM1095						33633648	Scaffold	2023-05-17	JARYSS01
GCA_009666145.1	ASM966614v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB50						22282389	Scaffold	2019-11-18	VZVX01
GCA_009665995.1	ASM966599v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL620						23060353	Scaffold	2019-11-18	VZVQ01
GCA_009666575.1	ASM966657v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL582						23028747	Scaffold	2019-11-18	VZWY01
GCA_003957675.1	FeuwUCR1854v2	Fusarium euwallaceae		UCR1854					Annotation submitted by University of California, Riverside	50472048	Contig	2018-12-20	MIKF01
GCA_035930285.1	ASM3593028v1	Exophiala xenobiotica		CCFEE 5816					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	35218409	Scaffold	2024-01-22	JAXLPG01
GCA_009666665.1	ASM966666v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB585						22201474	Scaffold	2019-11-18	VZWD01
GCA_009666195.1	ASM966619v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHCT131						22856019	Scaffold	2019-11-18	VZVZ01
GCA_016490745.1	ASM1649074v1	Trichoderma afroharzianum			MRI349					38392485	Contig	2021-01-05	JAEKOX01
GCA_002162485.1	ASM216248v1	Stromatinia cepivora		LMK 1						56334999	Scaffold	2017-05-31	NGKD01
GCA_009665675.1	ASM966567v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB25						22165625	Scaffold	2019-11-18	VZVD01
GCA_030028555.1	ASM3002855v1	Phyllosticta citriasiana		LSVM204						34219183	Scaffold	2023-05-17	JARYSU01
GCA_022180325.1	Fl_assembly_01	Fusarium langsethiae		MFG 217701					Annotation submitted by Graduate School of Bioagricultural Sciences, Nagoya University	38420390	Scaffold	2022-01-05	BQKT01
GCA_022180345.1	Fl_assembly_01	Fusarium langsethiae		MFG 217702					Annotation submitted by Graduate School of Bioagricultural Sciences, Nagoya University	38253641	Scaffold	2022-01-05	BQKU01
GCA_001292635.1	ASM129263v1	Fusarium langsethiae		Fl201059					Annotation submitted by Bioforsk	37543021	Scaffold	2015-09-16	JXCE01
GCA_009666255.1	ASM966625v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB32						23019533	Scaffold	2019-11-18	VZWA01
GCA_013368535.1	ASM1336853v1	Candida theae					2019I146			13095904	Scaffold	2020-06-23	JABBGN01
GCA_003426265.1	ASM342626v1	Xylaria longipes		IHI A66					Annotation submitted by IHI Zittau / TU Dresden	43191891	Contig	2018-08-23	NQIL01
GCA_009665725.1	ASM966572v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB28						23006669	Scaffold	2019-11-18	VZVG01
GCA_030028455.1	ASM3002845v1	Phyllosticta citriasiana		LSVM1146						33983572	Scaffold	2023-05-17	JARYSR01
GCA_009667515.1	ASM966751v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHCT83						18090656	Scaffold	2019-11-18	VZYK01
GCA_014281935.1	ASM1428193v1	Aspergillus hiratsukae					CNM-CM6106		Annotation submitted by UNICAMP	29891732	Scaffold	2020-08-24	JACBAF01
GCA_900119595.1	version 1	Hanseniaspora guilliermondii		UTAD222					Annotation submitted by Technische Universitat Munchen - WZW	9037850	Scaffold	2016-11-27	FQNF01
GCA_022478745.1	Bisme1	Biscogniauxia mediterranea		AZ0048					Annotation submitted by DOE Joint Genome Institute	44776836	Scaffold	2022-03-02	JAJNNP01
GCA_010724795.1	ASM1072479v1	Aspergillus udagawae		IFM 61606					Annotation submitted by Medical Mycology Research Center	31222906	Scaffold	2020-02-04	BLKK01
GCA_009665875.1	ASM966587v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHQL625						22777160	Scaffold	2019-11-18	VZVK01
GCA_030574045.1	ASM3057404v1	Zygosaccharomyces siamensis		CBS 12273						9643204	Scaffold	2023-07-31	JAJMEI01
GCA_016110235.1	KUNI_IBR014	Kazachstania unispora		IBR014						12066834	Contig	2020-12-17	JADWOU01
GCA_009665625.1	ASM966562v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB213						22987252	Scaffold	2019-11-18	VZVC01
GCA_022478735.1	Bismed1	Biscogniauxia mediterranea		CBS 129072					Annotation submitted by DOE Joint Genome Institute	44039921	Scaffold	2022-03-02	JAJNNU01
GCA_009666725.1	ASM966672v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHAB36						22965373	Scaffold	2019-11-18	VZWE01
GCA_009667215.1	ASM966721v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHCT111						24348594	Scaffold	2019-11-18	VZXY01
GCA_014705105.1	ASM1470510v1	Colletotrichum siamense		KY687						57441683	Scaffold	2020-09-22	JABGMC01
GCA_016584185.1	ASM1658418v1	Kazachstania unispora		Olga					Annotation submitted by SysMilk	12020007	Scaffold	2021-01-08	PUHS01
GCA_009667345.1	ASM966734v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHCT79						23860244	Scaffold	2019-11-18	VZYT01
GCA_002798055.1	ASM279805v1	Coniochaeta hoffmannii		CBS 245.38						30794135	Scaffold	2017-11-28	NXFW01
GCA_009665575.1	ASM966557v1	Saccharomyces cerevisiae x Saccharomyces eubayanus		yHDD49						22688690	Scaffold	2019-11-18	VZUY01
GCA_025585045.1	ASM2558504v1	Penicillium verrucosum		IFST Pver1						29905142	Scaffold	2022-10-05	JANFQS01
GCA_002179595.1	ASM217959v1	Cryphonectria radicalis		AR3913						41022676	Scaffold	2017-06-08	LATA01
GCA_014705195.1	ASM1470519v1	Colletotrichum siamense		KY777						57710956	Scaffold	2020-09-22	JABGMI01
